01/01/2021;income;100000
02/01/2021;income;84276
03/01/2021;expense;321
04/01/2021;expense;189200
05/01/2021;income;67787
06/01/2021;income;105455
07/01/2021;income;365700
08/01/2021;expense;200000
10/01/2021;expense;20000
11/01/2021;expense;30000
12/01/2021;expense;55500
13/01/2021;expense;55500
14/01/2021;expense;20000
15/01/2021;expense;10000
16/01/2021;expense;20000
17/01/2021;expense;10000
18/01/2021;expense;10000
19/01/2021;expense;55500
20/01/2021;expense;55500
21/01/2021;expense;10000
22/01/2021;expense;10000
23/01/2021;expense;10000
24/01/2021;expense;10000
